CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,first_time_customer,order_dollar_amaout,num_items,age,web_order,total_transactions_to_date,billing_shipping_zip_equal,hour_of_day,Reported_as_fraud,rownum,lookup_id,NewShipToZip
Rama Berry            ,4351470174267692,321,?,71251 West Saint Kitts and Nevis St.                          ,Las Vegas             ,USA,490878,Lydia@dis.org              ,Rama *Berry            ,309-044-4452,NV,13115,13058,N,717,18,13.3,Y,73,N,12,Y,26676,3,89106
Nina Banks            ,5401659055645888,921,?,92789 West Lebanon Ct.                                        ,Las Vegas             ,USA,233707,Madonna@vitae.net          ,Chancellor *Rich       ,605-445-5367,NV,43287,52077,N,262.5,7,49.6,N,91,N,23,N,42868,1,89102
Hadley Rogers         ,4929556217003798,420,?,29452 South Costa Rica Way                                    ,Las Vegas             ,USA,741821,Latifah@felis.com          ,Macey *Avila           ,645-873-7458,NV,76506,9608,Y,186.4,14,24.1,N,63,N,19,N,56537,2,89109
Boris Duran           ,5195199710455324,1219,?,45354  Djibouti Blvd.                                         ,Las Vegas             ,USA,242795,Hayley@Cum.edu             ,Boris *Duran           ,242-283-4370,NV,8544,8292,N,462,10,65.5,Y,76,N,3,Y,92101,3,89106
Thane Christian       ,4929921444738220,522,?,24002  Indonesia Ln.                                          ,Las Vegas             ,USA,637490,Anthony@ipsum.com          ,Jesse *Caldwell        ,627-495-8601,NV,63713,23651,Y,492.4,15,69.6,N,26,N,1,Y,50854,1,89102
Gil Ross              ,6011287851759826,1223,?,65077 North Forrest City Ln.                                  ,Las Vegas             ,USA,966986,Sandra@nascetur.org        ,Erin *Lucas            ,944-359-4225,NV,47614,31794,Y,154.1,13,14.2,N,36,N,14,N,26720,2,89109
Dante Dawson          ,6011872640005258,519,?,96446 North Nashville St.                                     ,Las Vegas             ,USA,932912,Aretha@sollicitudin.edu    ,Beau *Stone            ,452-913-6745,NV,97826,47898,Y,425.9,20,54.4,Y,50,N,11,Y,97370,3,89106
Keegan Mays           ,4539324543247825,320,?,20579 South Berlin St.                                        ,Las Vegas             ,USA,395117,Leslie@neque.us            ,Keegan *Mays           ,182-114-7246,NV,85397,85315,Y,127.7,17,49.5,Y,63,N,18,N,98474,1,89102
Brennan Torres        ,5359874432566432,923,?,98158  Serbia and Montenegro Ct.                              ,Las Vegas             ,USA,21610,Scarlet@magna.us           ,Elvis *Nash            ,911-993-4282,NV,48763,45931,N,557.4,2,56.8,Y,6,N,19,Y,18018,2,89109
Tate Randall          ,375637440674485,121,?,50821 East Antigua and Barbuda Blvd.                          ,Las Vegas             ,USA,837889,Damian@habitant.edu        ,Nero *Rush             ,521-973-6420,NV,10754,38476,N,270,1,85.6,Y,8,N,20,N,72145,3,89106
Ruby Barlow           ,5407532432835080,719,?,59177 North Norfolk Island Ct.                                ,Las Vegas             ,USA,44847,Amena@tristique.us         ,Ruby *Barlow           ,717-168-8586,NV,30074,30070,Y,346.2,6,53.5,N,33,N,19,N,24794,1,89102
Pascale Cross         ,4485228304725958,1020,?,8454  Aruba Ave.                                              ,Las Vegas             ,USA,706456,Cassady@risus.gov          ,Pascale *Cross         ,049-838-7679,NV,23085,23066,N,811.5,1,69.2,N,29,N,1,N,31356,2,89109
Iona Mcintosh         ,4539271413457077,1118,?,80404 North Bosnia and Herzegovina Ct.                        ,Las Vegas             ,USA,778278,Benedict@taciti.org        ,Solomon *King          ,159-860-5379,NV,21951,33602,Y,713.8,7,10.7,Y,32,N,0,Y,59986,3,89106
Chava Ellis           ,4716824086420551,821,?,63571 East Mayotte Ct.                                        ,Las Vegas             ,USA,704517,Dean@rutrum.edu            ,Chava *Ellis           ,508-824-2155,NV,39717,39297,N,702.7,15,52,Y,58,N,9,Y,33695,1,89102
Hunter Aguilar        ,4929399986433668,1021,?,28592 South Guinea-bissau Ave.                                ,Las Vegas             ,USA,793345,Clementine@pellentesque.gov,Hunter *Aguilar        ,830-377-1573,NV,44257,44028,N,252.5,12,100.7,Y,15,N,6,N,51426,2,89109
Fiona Barrera         ,4916389906072410,523,?,94179 North Oman Ln.                                          ,Las Vegas             ,USA,395335,Rogan@rhoncus.org          ,Fiona *Barrera         ,576-381-2124,NV,74306,73944,N,757.7,7,51.1,Y,24,N,6,N,12852,3,89106
Sierra Morris         ,4539298591435898,922,?,51614  Belarus Ave.                                           ,Las Vegas             ,USA,628382,Plato@Nulla.edu            ,Vaughan *Mcfadden      ,781-824-2909,NV,70500,388,N,338.1,6,48.9,N,17,N,8,N,52870,1,89102
Zahir Lamb            ,5476870018280297,722,?,17373 South Mount Vernon Ct.                                  ,Las Vegas             ,USA,261771,Brendan@pretium.gov        ,Zahir *Lamb            ,547-785-7243,NV,61857,61796,Y,499.3,7,74.2,Y,54,N,12,N,53939,2,89109
Ariana Carey          ,5542247489537598,820,?,73751 North Council Bluffs Ct.                                ,Las Vegas             ,USA,20538,Matthew@sapien.gov         ,Ariana *Carey          ,720-923-9785,NV,13484,13220,Y,551.7,7,18.5,N,16,N,5,N,82793,3,89106
Lamar Bryan           ,5120609669798086,221,?,37073 East Cocos (Keeling) Islands St.                        ,Las Vegas             ,USA,190859,Britanney@lectus.edu       ,Lamar *Bryan           ,906-401-1929,NV,96164,95778,N,130.2,14,56.6,N,87,N,14,N,82991,1,89102
Tatiana Parsons       ,4485644471354499,1020,?,50429 West Irving Way                                         ,Las Vegas             ,USA,740070,Jerome@Proin.us            ,Tatiana *Parsons       ,747-016-3298,NV,26883,26855,Y,842.1,16,52.8,Y,25,N,18,Y,41478,2,89109
Ayanna Reilly         ,4929777696429169,220,?,60588 East Belize Way                                         ,Las Vegas             ,USA,737121,Devin@parturient.com       ,Ayanna *Reilly         ,674-489-4476,NV,14318,13965,N,584.1,20,72.6,N,25,N,8,N,73441,3,89106
Yoshio Blankenship    ,4556284523283547,419,?,80076  Pittsfield Ave.                                        ,Las Vegas             ,USA,551065,Ann@pulvinar.gov           ,Yoshio *Blankenship    ,253-721-7370,NV,19996,19621,N,908.9,5,77.8,Y,51,N,6,Y,66258,1,89102
Zelda Chapman         ,4716919625325533,420,?,2748 West Jamaica Way                                         ,Las Vegas             ,USA,635745,Jared@at.net               ,Zelda *Chapman         ,790-379-8521,NV,79018,78620,Y,794.8,12,72.8,N,54,N,1,Y,50251,2,89109
Guinevere Johns       ,347604279421516,618,?,52647 North Angola Way                                        ,Las Vegas             ,USA,870204,Fay@volutpat.org           ,Yetta *Crawford        ,747-713-7125,NV,82735,72864,Y,375.5,14,84.9,Y,41,N,0,Y,81929,3,89106
Jessica Hammond       ,5245094643874321,623,?,96805  Lithuania Way                                          ,Las Vegas             ,USA,323637,Michelle@blandit.gov       ,Jessica *Hammond       ,019-918-7425,NV,74477,74362,N,753.7,20,72.1,Y,40,N,10,Y,16336,1,89102
Samantha Bruce        ,4532842850180260,218,?,26532  Kuwait St.                                             ,Las Vegas             ,USA,377120,Nevada@pulvinar.com        ,Ivana *Hunter          ,817-971-6833,NV,57713,85505,Y,489.7,13,59.1,Y,55,N,3,Y,86948,2,89109
Ralph Vaughan         ,4916776169375953,521,?,27138 West Azerbaijan Ct.                                     ,Las Vegas             ,USA,516535,Jonah@risus.com            ,Keelie *Gates          ,257-231-9851,NV,84723,38005,N,800.7,6,42,Y,27,N,1,Y,87423,3,89106
Patience Middleton    ,5223868182075887,1120,?,14700 East Azerbaijan Ave.                                    ,Las Vegas             ,USA,339497,Hayes@at.gov               ,Patience *Middleton    ,093-947-4936,NV,10692,10368,Y,885.2,8,108.1,N,16,N,16,N,97718,1,89102
Alea Mcgowan          ,4485034836348487,219,?,98258 North Armenia Blvd.                                     ,Las Vegas             ,USA,725505,Kasper@dapibus.com         ,Quinn *Salazar         ,183-883-1946,NV,27377,78464,Y,783,18,97.1,N,97,N,3,Y,66884,2,89109
Summer Gallagher      ,5569517139072065,1119,?,61556 South Liberia Ct.                                       ,Las Vegas             ,USA,275660,Dorothy@id.gov             ,Sasha *Leonard         ,170-624-6918,NV,83578,5881,N,959.6,2,39,Y,50,N,1,Y,84336,3,89106
Christopher Dennis    ,5148544879260783,1022,?,2258 East Bellflower Ln.                                      ,Las Vegas             ,USA,206684,Price@libero.com           ,Christopher *Dennis    ,579-640-8712,NV,86396,86108,Y,663.1,13,61.2,Y,61,N,13,Y,22940,1,89102
Davis Larson          ,4556165977865006,418,?,49153 West Dover Way                                          ,Las Vegas             ,USA,616176,Dalton@adipiscing.net      ,Davis *Larson          ,551-472-0342,NV,18774,18615,Y,848.7,3,34.6,N,1,N,14,Y,72641,2,89109
Jason Cameron         ,4485734726864796,219,?,34788  China Ave.                                             ,Las Vegas             ,USA,383392,Evan@ac.net                ,Ruth *Pacheco          ,707-360-6170,NV,81223,9614,N,430.1,12,87.3,N,66,N,23,N,73839,3,89106
Curran Dyer           ,5475846381675629,1221,?,89697  Papua New Guinea Ave.                                  ,Las Vegas             ,USA,279750,Lionel@amet.gov            ,Curran *Dyer           ,255-572-3288,NV,84987,84932,N,498,8,56.3,Y,61,N,11,N,13569,1,89102
Pandora Mclean        ,5489346809178177,219,?,98978  Frisco Way                                             ,Las Vegas             ,USA,259568,Ronan@fringilla.gov        ,Pandora *Mclean        ,763-675-1268,NV,83710,83564,Y,26.9,16,21.3,N,16,N,6,Y,50832,2,89109
Jameson Burks         ,5327079266952646,419,?,12910 West Sudan Ln.                                          ,Las Vegas             ,USA,43945,Dexter@ipsum.net           ,Norman *Pennington     ,679-790-9675,NV,85002,19382,N,504,18,32.1,Y,54,N,2,Y,32451,3,89106
Roanna Hyde           ,373543340970126,419,?,78351 North Slovenia Ave.                                     ,Las Vegas             ,USA,914318,Nicole@commodo.net         ,Mark *Small            ,437-172-2597,NV,12591,48647,N,374.4,9,63.7,Y,98,N,4,N,36242,1,89102
Amity Kramer          ,5331192130540747,1021,?,84444  Suriname Way                                           ,Las Vegas             ,USA,27857,Benjamin@arcu.edu          ,Melyssa *Fleming       ,726-612-1699,NV,84044,39955,Y,633.3,7,37.1,Y,53,N,23,Y,23302,2,89109
Buckminster Mcpherson ,6011437215320746,920,?,87244 South South Africa Ave.                                 ,Las Vegas             ,USA,992520,Randall@dis.org            ,Abigail *Alexander     ,900-406-8120,NV,92519,3845,N,74.1,18,106.1,Y,26,N,17,N,80535,3,89106
Adrienne Frazier      ,6011979222509142,220,?,23484 West Rwanda Ct.                                         ,Las Vegas             ,USA,937763,Reed@congue.com            ,Adrienne *Frazier      ,514-602-3236,NV,25907,25511,Y,955.9,6,74.2,Y,11,N,20,Y,83468,1,89102
Maile Fowler          ,4716611483202306,520,?,66661 East Cambodia St.                                       ,Las Vegas             ,USA,780679,Kirestin@magna.us          ,Maile *Fowler          ,004-470-6317,NV,85544,85244,N,194.5,10,45.9,N,11,N,23,N,39026,2,89109
Oprah Trevino         ,4890054724988813,120,?,16475 South Romania Ct.                                       ,Las Vegas             ,USA,712385,Brittany@nonummy.com       ,Oprah *Trevino         ,931-814-6636,NV,18074,18018,N,163,17,94.7,N,30,N,20,N,69945,3,89106
Jackson Vargas        ,5312101079047104,221,?,94595 East Iraq Ave.                                          ,Las Vegas             ,USA,242787,Oleg@habitant.com          ,Jackson *Vargas        ,955-655-8115,NV,63939,63847,N,113.2,4,91.8,N,93,N,12,N,118,1,89102
Gary Mcbride          ,376882426004989,418,?,10172 South Syrian Arab Republic Ave.                         ,Las Vegas             ,USA,882813,Harrison@Nunc.org          ,Tashya *Kirby          ,927-668-7695,NV,7013,73403,Y,969.2,4,28.3,Y,17,N,12,Y,62473,2,89109
Cheryl Webster        ,347730637850458,623,?,12180 West Maldives Ln.                                       ,Las Vegas             ,USA,883659,Brady@diam.edu             ,Cheryl *Webster        ,070-212-1956,NV,56975,56622,Y,908.6,9,53.2,Y,51,N,15,Y,94386,3,89106
Zachary Hendrix       ,5299053086200613,1120,?,14758 South Bhutan Ln.                                        ,Las Vegas             ,USA,156928,Steven@dis.org             ,Zachary *Hendrix       ,889-080-5236,NV,59310,59018,Y,887.2,8,35.7,N,35,N,2,Y,36292,1,89102
Hashim Morrow         ,5120763115986140,719,?,58234 South Manhattan Beach Ct.                               ,Las Vegas             ,USA,206657,Nicholas@porttitor.us      ,Hashim *Morrow         ,233-465-8400,NV,6999,6683,Y,142.7,1,18.6,N,88,N,11,Y,58237,2,89109
Rigel Rose            ,5479550407403422,618,?,33907 East Azerbaijan Way                                     ,Las Vegas             ,USA,278771,Kuame@nisl.com             ,Rigel *Rose            ,249-992-6498,NV,91684,91408,Y,526.4,3,36.8,Y,66,N,15,Y,54044,3,89106
Amal Hurst            ,5113582466644754,722,?,68241 North Canada Ln.                                        ,Las Vegas             ,USA,238913,Caldwell@id.edu            ,Amal *Hurst            ,681-815-2037,NV,28918,28564,Y,599.8,10,55.9,Y,55,N,23,Y,15696,1,89102
Zoe Pierce            ,5202317935961907,1021,?,75992  Cambodia Ct.                                           ,Las Vegas             ,USA,218755,Veronica@tincidunt.com     ,Zoe *Pierce            ,189-790-6114,NV,9626,9140,N,197.7,3,66.1,Y,84,N,3,N,133,2,89109
Megan Aguilar         ,5301532395104141,118,?,77338 East Australia Way                                      ,Las Vegas             ,USA,57299,Celeste@litora.edu         ,Megan *Aguilar         ,856-919-4403,NV,15404,15400,Y,351.8,2,21.9,N,2,N,1,Y,64139,3,89106
Rooney Ferguson       ,4556456255068839,520,?,29555 North Carbondale Ave.                                   ,Las Vegas             ,USA,474379,Quin@bibendum.us           ,Rooney *Ferguson       ,682-300-9602,NV,80502,80315,Y,424.3,5,19.3,N,82,N,11,N,41170,1,89102
Ali Nixon             ,377266485745337,220,?,38146 South Chicago Heights Way                               ,Las Vegas             ,USA,923949,Destiny@pharetra.us        ,Ali *Nixon             ,164-555-4514,NV,46012,45697,N,856.9,6,76.8,N,100,N,2,N,42877,2,89109
Xandra Durham         ,4929020801939115,919,?,17664 East Liechtenstein Ln.                                  ,Las Vegas             ,USA,611230,Carla@montes.us            ,William *Berg          ,536-332-5269,NV,45302,26987,N,892.5,10,36.1,Y,39,N,18,Y,42010,3,89106
Yasir Baker           ,6011466228371545,318,?,41183 North Cayman Islands Ave.                               ,Las Vegas             ,USA,970855,Althea@ligula.us           ,Yasir *Baker           ,697-930-2483,NV,3626,3190,N,641.8,10,59.6,N,27,N,4,N,49266,1,89102
Jescie Harding        ,375674588559202,1220,?,42060 North Hartford St.                                      ,Las Vegas             ,USA,924385,Garth@lorem.com            ,Jescie *Harding        ,114-336-2010,NV,11844,11736,Y,44.9,4,71.5,Y,25,N,19,N,144,2,89109
Veda Watson           ,5406673900487946,219,?,75978 North Sao Tome and Principe St.                         ,Las Vegas             ,USA,5104,Keefe@blandit.us           ,Veda *Watson           ,985-337-9913,NV,99296,99036,N,783,5,102.6,N,53,N,14,N,80662,3,89106
Hollee Sullivan       ,4485442377201355,719,?,50624 East Hungary Ave.                                       ,Las Vegas             ,USA,558626,Maia@taciti.net            ,Hollee *Sullivan       ,948-480-2863,NV,40745,40694,Y,856.2,19,92.4,N,75,N,17,Y,35238,1,89102
Alden Pennington      ,4716606251539707,820,?,68919  Aguadilla St.                                          ,Las Vegas             ,USA,662398,Denton@Pellentesque.net    ,Alden *Pennington      ,961-496-7275,NV,59745,59684,Y,475.1,20,81.5,N,33,N,14,N,22217,2,89109
Colorado Olson        ,5524244824564785,1021,?,53867 East Netherlands Ln.                                    ,Las Vegas             ,USA,259005,Teagan@Maecenas.net        ,Colorado *Olson        ,074-142-6373,NV,50946,50790,Y,97.8,15,47.4,N,93,N,12,Y,86280,3,89106
Oleg Justice          ,4929767195762426,920,?,36704  Aguadilla Ln.                                          ,Las Vegas             ,USA,687880,Blake@mus.org              ,Leah *Brooks           ,105-556-9511,NV,33743,50568,Y,408,1,23.7,Y,92,N,9,Y,41135,1,89102
Hermione Burton       ,5263696378107607,1119,?,43593 North Kyrgyzstan Ave.                                   ,Las Vegas             ,USA,235264,Tallulah@Integer.net       ,Hermione *Burton       ,383-101-5722,NV,8369,8143,N,158.6,4,69.7,Y,67,N,14,N,51597,2,89109
Allegra Garcia        ,4532350669695775,919,?,78825 South Bermuda Way                                       ,Las Vegas             ,USA,674471,Kiayada@erat.us            ,Aphrodite *Farmer      ,353-174-9207,NV,28518,9016,N,782.3,16,84.6,Y,90,N,1,N,6830,3,89106
Zenaida Cobb          ,6011113582286733,918,?,36804 West Afghanistan Ave.                                   ,Las Vegas             ,USA,995842,Rashad@sociis.com          ,Zenaida *Cobb          ,992-609-1296,NV,82633,82406,N,512,6,49.4,N,90,N,17,N,77881,1,89102
Lamar Gibson          ,5509536115133264,1120,?,83145 West Solomon Islands Blvd.                              ,Las Vegas             ,USA,213723,Drew@nisl.org              ,Gabriel *Allison       ,944-829-9621,NV,59424,99622,Y,860.1,4,108.8,N,65,N,3,N,56221,2,89109
Skyler Carson         ,5451485269905911,421,?,58568 South Mauritania Way                                    ,Las Vegas             ,USA,104650,Edan@cubilia.gov           ,Skyler *Carson         ,112-378-7380,NV,31420,31221,N,650.8,11,53.6,N,31,N,17,N,78382,3,89106
Timothy Thornton      ,5379199667544847,919,?,6536 South Hong Kong Blvd.                                    ,Las Vegas             ,USA,235464,Flavia@vehicula.com        ,Perry *Workman         ,388-809-8101,NV,79571,77724,Y,634.9,12,39.5,N,21,N,5,Y,34319,1,89102
Wing Finch            ,4485456959806043,719,?,21415 South Cayman Islands Way                                ,Las Vegas             ,USA,567926,Winifred@elit.gov          ,Wing *Finch            ,050-730-8156,NV,64106,63931,N,639.6,16,39.3,Y,3,N,17,Y,51385,2,89109
Maia Mcleod           ,4556901939325642,620,?,196 East Guinea Way                                           ,Las Vegas             ,USA,723822,Cody@enim.gov              ,Eugenia *Gay           ,833-378-3931,NV,79478,6772,Y,772.3,18,93.2,Y,70,N,20,Y,44532,3,89106
Charde Bonner         ,4485313065539200,620,?,85976 North Cameroon Ln.                                      ,Las Vegas             ,USA,409266,Gail@natoque.us            ,Charde *Bonner         ,816-679-0282,NV,50079,49952,Y,34.9,19,47.9,N,21,N,10,N,81005,1,89102
Timon Browning        ,4036366565304206,518,?,68932 North Zambia Ln.                                        ,Las Vegas             ,USA,368704,Omar@mus.gov               ,Audrey *Wilder         ,292-190-6502,NV,55385,97246,Y,186.6,3,95.2,N,23,N,18,N,57123,2,89109
Hedley Ayers          ,5357830234670808,918,?,37156 West Belleville St.                                     ,Las Vegas             ,USA,98756,Nigel@ac.net               ,Hedley *Ayers          ,376-702-1213,NV,39785,39652,N,994.7,15,37.7,Y,62,N,9,Y,43394,3,89106
Keelie Frederick      ,6011477569877834,1022,?,79820 North Russian Federation Ave.                           ,Las Vegas             ,USA,954927,Samson@porta.us            ,Keelie *Frederick      ,595-373-5224,NV,41039,40923,N,322.3,15,72.9,N,72,N,18,N,24687,1,89102
Perry Oliver          ,5524128723604745,521,?,42259 North Gardena Ct.                                       ,Las Vegas             ,USA,93437,Adele@Maecenas.com         ,Ginger *Clayton        ,880-831-6802,NV,96192,57579,Y,954.4,9,26.4,N,54,N,16,Y,60135,2,89109
Aladdin Cash          ,4556366052327140,721,?,2474 East Chile St.                                           ,Las Vegas             ,USA,621786,Robert@sit.net             ,Aladdin *Cash          ,742-228-5547,NV,25655,25255,Y,894.7,6,93.5,N,24,N,15,Y,77540,3,89106
Marvin Heath          ,4539080944071046,920,?,84707 West Iraq Ave.                                          ,Las Vegas             ,USA,648584,Luke@Nam.us                ,Georgia *Ortega        ,300-353-8664,NV,2113,24429,N,818.9,5,50.8,Y,95,N,1,N,35074,1,89102
Talon Dickson         ,4024007104440853,920,?,89530 East Sweden Blvd.                                       ,Las Vegas             ,USA,604877,Kaseem@bibendum.us         ,Skyler *Pena           ,996-696-1698,NV,47613,28034,N,788.9,18,82.1,N,65,N,2,Y,46773,2,89109
Zachary Grimes        ,6011035988135950,1119,?,42577  Jordan Ave.                                            ,Las Vegas             ,USA,995379,Urielle@facilisi.us        ,Myles *Bullock         ,132-356-6106,NV,10875,2892,N,247.1,15,32.6,Y,64,N,6,N,44480,3,89106
Medge Morris          ,4716461171891410,722,?,19271 South Fairfield Ct.                                     ,Las Vegas             ,USA,587753,Dominic@neque.net          ,Medge *Morris          ,738-682-8002,NV,80768,80602,Y,658.5,19,63.7,N,73,N,13,Y,190,1,89102
Adena Holmes          ,4556297714701044,1220,?,81299 South Cedarburg Ct.                                     ,Las Vegas             ,USA,784292,Joshua@porta.edu           ,Adena *Holmes          ,463-398-6901,NV,23056,23021,N,917.2,15,26,Y,46,N,3,Y,74765,2,89109
Hayden Price          ,4716383443093692,121,?,27445  Brazil Ave.                                            ,Las Vegas             ,USA,673669,Yoshio@parturient.com      ,Hadley *Hunter         ,448-993-2859,NV,83295,91245,Y,7.7,11,47.3,N,36,N,22,N,38886,3,89106
Caldwell Daniels      ,4066999960756092,523,?,80543 North Andorra Ct.                                       ,Las Vegas             ,USA,460795,Isabelle@Phasellus.net     ,Caldwell *Daniels      ,641-248-7987,NV,5652,5305,Y,678.3,6,99.4,Y,25,N,20,Y,90829,1,89102
Ignacia Morrison      ,4654882587962590,219,?,65493 West Bermuda Ct.                                        ,Las Vegas             ,USA,478366,Imelda@viverra.net         ,Ignacia *Morrison      ,925-566-0257,NV,14460,14409,N,320.5,3,33.1,N,76,N,8,N,40883,2,89109
Amal Gardner          ,5113929679306798,420,?,94185 South Aruba Ln.                                         ,Las Vegas             ,USA,55197,Yeo@congue.net             ,Moses *Ball            ,938-948-4707,NV,6052,30144,Y,663.2,17,92.3,Y,54,N,15,Y,89650,3,89106
Marshall Mckinney     ,376988918320039,923,?,17120 West Chile Blvd.                                        ,Las Vegas             ,USA,871649,Cameron@nunc.edu           ,Henry *Barnes          ,024-176-5513,NV,19723,41912,N,292.9,16,48.2,N,100,N,0,Y,70780,1,89102
Ocean Craig           ,4539113479532346,918,?,91313 South Djibouti Ct.                                      ,Las Vegas             ,USA,755684,Athena@porttitor.net       ,Ocean *Craig           ,052-982-6338,NV,47704,47452,Y,580.8,12,79,Y,6,N,17,Y,82019,2,89109
Illiana Campos        ,4916492897207175,722,?,31047 North Mauritius Ave.                                    ,Las Vegas             ,USA,476835,Kevyn@arcu.net             ,Illiana *Campos        ,559-571-8163,NV,91753,91588,N,799.4,14,71.8,Y,12,N,19,Y,68112,3,89106
Willow Goodwin        ,4929042774217642,623,?,63186 South Somalia Way                                       ,Las Vegas             ,USA,677565,Solomon@Aliquam.edu        ,Willow *Goodwin        ,977-689-3860,NV,4013,3991,Y,350.5,12,75.6,Y,79,N,16,N,49826,1,89102
Wallace Bennett       ,4485777795877769,419,?,53445 West Zambia St.                                         ,Las Vegas             ,USA,684770,Zane@tortor.org            ,Justine *Dodson        ,513-158-4343,NV,90662,23025,N,220.3,19,103.1,Y,13,N,12,N,23641,2,89109
Maite Vaughn          ,5512692382866535,122,?,97110  Hastings Ln.                                           ,Las Vegas             ,USA,186845,Martin@vel.us              ,Maite *Vaughn          ,233-712-8580,NV,28059,27857,Y,88.8,12,83.4,N,48,N,23,N,45637,3,89106
Ora Carroll           ,4024007133185065,322,?,67674 South Bolivia Way                                       ,Las Vegas             ,USA,661319,Jerry@magnis.gov           ,Ora *Carroll           ,136-260-0047,NV,36758,36644,Y,543,1,11.6,N,2,N,23,Y,75069,1,89102
Aurora Pittman        ,5212699192122507,822,?,9469 East Bulgaria St.                                        ,Las Vegas             ,USA,210209,Demetria@nibh.gov          ,Kiona *Gilmore         ,810-797-8504,NV,54099,85702,N,302.9,17,18.8,N,55,N,20,N,30714,2,89109
Hilda Sellers         ,5291216670008449,323,?,782 South Brea Blvd.                                          ,Las Vegas             ,USA,185623,Samson@cursus.edu          ,Hilda *Sellers         ,551-982-6771,NV,15631,15537,Y,397.8,11,35.8,N,71,N,15,N,48566,3,89106
