ORDERNUMBER;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;SALES;ORDERDATE;STATUS;QTR_ID;MONTH_ID;YEAR_ID;PRODUCTLINE;MSRP;PRODUCTCODE;CUSTOMERNAME;PHONE;ADDRESSLINE1;ADDRESSLINE2;CITY;STATE;POSTALCODE;COUNTRY;TERRITORY;CONTACTLASTNAME;CONTACTFIRSTNAME
10275;45;92.8;1;4177.4;07/23/2004;Shipped   ;3;7;2004;Motorcycles     ;95;S10_1678 ;La Rochelle Gifts                 ;40.67.8555       ;67, rue des Cinquante Otages              ;           ;Nantes        ;             ;44000    ;France       ;EMEA ;Labrune    ;Janine    
10285;36;100;6;4099.7;08/27/2004;Shipped   ;3;8;2004;Motorcycles     ;95;S10_1678 ;Marta's Replicas Co.              ;6175558555       ;39323 Spinnaker Dr.                       ;           ;Cambridge     ;MA           ;51247    ;USA          ;NA   ;Hernandez  ;Marta     
10299;23;100;9;2597.4;09/30/2004;Shipped   ;3;9;2004;Motorcycles     ;95;S10_1678 ;Toys of Finland, Co.              ;90-224 8555      ;Keskuskatu 45                             ;           ;Helsinki      ;             ;21240    ;Finland      ;EMEA ;Karttunen  ;Matti     
10309;41;100;5;4394.4;10/15/2004;Shipped   ;4;10;2004;Motorcycles     ;95;S10_1678 ;Baane Mini Imports                ;07-98 9555       ;Erling Skakkes gate 78                    ;           ;Stavern       ;             ;4110     ;Norway       ;EMEA ;Bergulfsen ;Jonas     
10318;46;94.7;1;4358;11/02/2004;Shipped   ;4;11;2004;Motorcycles     ;95;S10_1678 ;Diecast Classics Inc.             ;2155551555       ;7586 Pompton St.                          ;           ;Allentown     ;PA           ;70267    ;USA          ;NA   ;Yu         ;Kyung     
10329;42;100;1;4396.1;11/15/2004;Shipped   ;4;11;2004;Motorcycles     ;95;S10_1678 ;Land of Toys Inc.                 ;2125557818       ;897 Long Airport Avenue                   ;           ;NYC           ;NY           ;10022    ;United States;NA   ;Yu         ;Kwai      
10341;41;100;9;7737.9;11/24/2004;Shipped   ;4;11;2004;Motorcycles     ;95;S10_1678 ;Salzburg Collectables             ;6562-9555        ;Geislweg 14                               ;           ;Salzburg      ;             ;5020     ;Austria      ;EMEA ;Pipps      ;Georg     
10361;20;72.5;13;1451;12/17/2004;Shipped   ;4;12;2004;Motorcycles     ;95;S10_1678 ;Souveniers And Things Co.         ;+61 2 9495 8555  ;Monitor Money Building, 815 Pacific Hwy   ;Level 6    ;Chatswood     ;NSW          ;2067     ;Australia    ;APAC ;Huxley     ;Adrian    
10375;21;34.9;12;733.1;02/03/2005;Shipped   ;1;2;2005;Motorcycles     ;95;S10_1678 ;La Rochelle Gifts                 ;40.67.8555       ;67, rue des Cinquante Otages              ;           ;Nantes        ;             ;44000    ;France       ;EMEA ;Labrune    ;Janine    
10388;42;76.4;4;3207.1;03/03/2005;Shipped   ;1;3;2005;Motorcycles     ;95;S10_1678 ;FunGiftIdeas.com                  ;5085552555       ;1785 First Street                         ;           ;New Bedford   ;MA           ;50553    ;USA          ;NA   ;Benitez    ;Violeta   
10403;24;100;7;2434.6;04/08/2005;Shipped   ;2;4;2005;Motorcycles     ;95;S10_1678 ;UK Collectables, Ltd.             ;(171) 555-2282   ;Berkeley Gardens 12  Brewery              ;           ;Liverpool     ;             ;WX1 6LT  ;UK           ;EMEA ;Devon      ;Elizabeth 
10417;66;100;2;7516.1;05/13/2005;Disputed  ;2;5;2005;Motorcycles     ;95;S10_1678 ;Euro+ Shopping Channel            ;(91) 555 94 44   ;C/ Moralzarzal, 86                        ;           ;Madrid        ;             ;28034    ;Spain        ;EMEA ;Freyre     ;Diego     
10103;26;100;11;5404.6;01/29/2003;Shipped   ;1;1;2003;Classic Cars    ;214;S10_1949 ;Baane Mini Imports                ;07-98 9555       ;Erling Skakkes gate 78                    ;           ;Stavern       ;             ;4110     ;Norway       ;EMEA ;Bergulfsen ;Jonas     
10112;29;100;1;7209.1;03/24/2003;Shipped   ;1;3;2003;Classic Cars    ;214;S10_1949 ;Volvo Model Replicas, Co          ;0921-12 3555     ;Berguvsv„gen  8                           ;           ;Lule†         ;             ;S-958 22 ;Sweden       ;EMEA ;Berglund   ;Christina 
10126;38;100;11;7329.1;05/28/2003;Shipped   ;2;5;2003;Classic Cars    ;214;S10_1949 ;Corrida Auto Replicas, Ltd        ;(91) 555 22 82   ;C/ Araquil, 67                            ;           ;Madrid        ;             ;28023    ;Spain        ;EMEA ;Sommer     ;Mart¡n    
10140;37;100;11;7374.1;07/24/2003;Shipped   ;3;7;2003;Classic Cars    ;214;S10_1949 ;Technics Stores Inc.              ;6505556809       ;9408 Furth Circle                         ;           ;Burlingame    ;CA           ;94217    ;USA          ;NA   ;Hirano     ;Juri      
10150;45;100;8;10993.5;09/19/2003;Shipped   ;3;9;2003;Classic Cars    ;214;S10_1949 ;Dragon Souveniers, Ltd.           ;+65 221 7555     ;Bronz Sok., Bronz Apt. 3/6 Tesvikiye      ;           ;Singapore     ;             ;079903   ;Singapore    ;Japan;Natividad  ;Eric      
10163;21;100;1;4860.2;10/20/2003;Shipped   ;4;10;2003;Classic Cars    ;214;S10_1949 ;Classic Legends Inc.              ;2125558493       ;5905 Pompton St.                          ;Suite 750  ;NYC           ;NY           ;10022    ;United States;NA   ;Hernandez  ;Maria     
10174;34;100;4;8014.8;11/06/2003;Shipped   ;4;11;2003;Classic Cars    ;214;S10_1949 ;Australian Gift Network, Co       ;61-7-3844-6555   ;31 Duncan St. West End                    ;           ;South Brisbane;Queensland   ;4101     ;Australia    ;APAC ;Calaghan   ;Tony      
10183;23;100;8;5372.6;11/13/2003;Shipped   ;4;11;2003;Classic Cars    ;214;S10_1949 ;Classic Gift Ideas, Inc           ;2155554695       ;782 First Street                          ;           ;Philadelphia  ;PA           ;71270    ;USA          ;NA   ;Cervantes  ;Francisca 
10194;42;100;11;7290.4;11/25/2003;Shipped   ;4;11;2003;Classic Cars    ;214;S10_1949 ;Saveley & Henriot, Co.            ;78.32.5555       ;2, rue du Commerce                        ;           ;Lyon          ;             ;69004    ;France       ;EMEA ;Saveley    ;Mary      
10206;47;100;6;9064.9;12/05/2003;Shipped   ;4;12;2003;Classic Cars    ;214;S10_1949 ;Canadian Gift Exchange Network    ;(604) 555-3392   ;1900 Oak St.                              ;           ;Vancouver     ;BC           ;V3F 2K1  ;Canada       ;NA   ;Tannamuri  ;Yoshi     
10215;35;100;3;6075.3;01/29/2004;Shipped   ;1;1;2004;Classic Cars    ;214;S10_1949 ;West Coast Collectables Co.       ;3105553722       ;3675 Furth Circle                         ;           ;Burbank       ;CA           ;94019    ;United States;NA   ;Thompson   ;Steve     
10228;29;100;2;6463.2;03/10/2004;Shipped   ;1;3;2004;Classic Cars    ;214;S10_1949 ;Cambridge Collectables Co.        ;6175555555       ;4658 Baden Av.                            ;           ;Cambridge     ;MA           ;51247    ;USA          ;NA   ;Tseng      ;Kyung     
10245;34;100;9;6120.3;05/04/2004;Shipped   ;2;5;2004;Classic Cars    ;214;S10_1949 ;Super Scale Inc.                  ;2035559545       ;567 North Pendale Street                  ;           ;New Haven     ;CT           ;97823    ;United States;NA   ;Murphy     ;Leslie    
10258;32;100;6;7680.6;06/15/2004;Shipped   ;2;6;2004;Classic Cars    ;214;S10_1949 ;Tokyo Collectables, Ltd           ;+81 3 3584 0555  ;2-2-8 Roppongi                            ;           ;Minato-ku     ;Tokyo        ;106-0032 ;Japan        ;Japan;Shimamura  ;Akiko     
10270;21;100;9;4905.4;07/19/2004;Shipped   ;3;7;2004;Classic Cars    ;214;S10_1949 ;Souveniers And Things Co.         ;+61 2 9495 8555  ;Monitor Money Building, 815 Pacific Hwy   ;Level 6    ;Chatswood     ;NSW          ;2067     ;Australia    ;APAC ;Huxley     ;Adrian    
10280;34;100;2;8014.8;08/17/2004;Shipped   ;3;8;2004;Classic Cars    ;214;S10_1949 ;Amica Models & Co.                ;011-4988555      ;Via Monte Bianco 34                       ;           ;Torino        ;             ;10100    ;Italy        ;EMEA ;Accorti    ;Paolo     
10291;37;100;11;7136.2;09/08/2004;Shipped   ;3;9;2004;Classic Cars    ;214;S10_1949 ;Scandinavian Gift Ideas           ;0695-34 6555     ;?kergatan 24                              ;           ;Br„cke        ;             ;S-844 67 ;Sweden       ;EMEA ;Larsson    ;Maria     
10304;47;100;6;10172.7;10/11/2004;Shipped   ;4;10;2004;Classic Cars    ;214;S10_1949 ;Auto Associ‚s & Cie.              ;30.59.8555       ;67, avenue de l'Europe                    ;           ;Versailles    ;             ;78000    ;France       ;EMEA ;Tonini     ;Daniel    
10312;48;100;3;11623.7;10/21/2004;Shipped   ;4;10;2004;Classic Cars    ;214;S10_1949 ;Mini Gifts Distributors Ltd.      ;4155551450       ;5677 Strong St.                           ;           ;San Rafael    ;CA           ;97562    ;USA          ;NA   ;Nelson     ;Valarie   
10322;40;100;1;6000.4;11/04/2004;Shipped   ;4;11;2004;Classic Cars    ;214;S10_1949 ;Online Diecast Creations Co.      ;6035558647       ;2304 Long Airport Avenue                  ;           ;Nashua        ;NH           ;62005    ;USA          ;NA   ;Young      ;Valarie   
10333;26;100;3;3003;11/18/2004;Shipped   ;4;11;2004;Classic Cars    ;214;S10_1949 ;Mini Wheels Co.                   ;6505555787       ;5557 North Pendale Street                 ;           ;San Francisco ;CA           ;         ;United States;NA   ;Murphy     ;Julie     
10347;30;100;1;3944.7;11/29/2004;Shipped   ;4;11;2004;Classic Cars    ;214;S10_1949 ;Australian Collectors, Co.        ;03 9520 4555     ;636 St Kilda Road                         ;Level 3    ;Melbourne     ;Victoria     ;3004     ;Australia    ;APAC ;Ferguson   ;Peter     
10357;32;100;10;5691.8;12/10/2004;Shipped   ;4;12;2004;Classic Cars    ;214;S10_1949 ;Mini Gifts Distributors Ltd.      ;4155551450       ;5677 Strong St.                           ;           ;San Rafael    ;CA           ;97562    ;United States;NA   ;Nelson     ;Valarie   
10369;41;100;2;4514.9;01/20/2005;Shipped   ;1;1;2005;Classic Cars    ;214;S10_1949 ;Collectables For Less Inc.        ;6175558555       ;7825 Douglas Av.                          ;           ;Brickhaven    ;MA           ;58339    ;USA          ;NA   ;Nelson     ;Allen     
10381;36;100;3;8254.8;02/17/2005;Shipped   ;1;2;2005;Classic Cars    ;214;S10_1949 ;Corporate Gift Ideas Co.          ;6505551386       ;7734 Strong St.                           ;           ;San Francisco ;CA           ;         ;USA          ;NA   ;Brown      ;Julie     
10391;24;100;4;2416.6;03/09/2005;Shipped   ;1;3;2005;Classic Cars    ;214;S10_1949 ;Anna's Decorations, Ltd           ;02 9936 8555     ;201 Miller Street                         ;Level 15   ;North Sydney  ;NSW          ;2060     ;Australia    ;APAC ;O'Hara     ;Anna      
10411;23;100;9;4140.2;05/01/2005;Shipped   ;2;5;2005;Classic Cars    ;214;S10_1949 ;Qu‚bec Home Shopping Network      ;(514) 555-8054   ;43 rue St. Laurent                        ;           ;Montr‚al      ;Qu‚bec       ;H1J 1C3  ;Canada       ;NA   ;FresniŠre  ;Jean      
10424;50;100;6;12001;05/31/2005;In Process;2;5;2005;Classic Cars    ;214;S10_1949 ;Euro+ Shopping Channel            ;(91) 555 94 44   ;C/ Moralzarzal, 86                        ;           ;Madrid        ;             ;28034    ;Spain        ;EMEA ;Freyre     ;Diego     
10107;39;99.9;5;3896.5;02/24/2003;Shipped   ;1;2;2003;Motorcycles     ;118;S10_2016 ;Land of Toys Inc.                 ;2125557818       ;897 Long Airport Avenue                   ;           ;NYC           ;NY           ;10022    ;USA          ;NA   ;Yu         ;Kwai      
10120;29;96.3;3;2793.9;04/29/2003;Shipped   ;2;4;2003;Motorcycles     ;118;S10_2016 ;Australian Collectors, Co.        ;03 9520 4555     ;636 St Kilda Road                         ;Level 3    ;Melbourne     ;Victoria     ;3004     ;Australia    ;APAC ;Ferguson   ;Peter     
10134;27;100;5;3307.8;07/01/2003;Shipped   ;3;7;2003;Motorcycles     ;118;S10_2016 ;Lyon Souveniers                   ;+33 1 46 62 7555 ;27 rue du Colonel Pierre Avia             ;           ;Paris         ;             ;75508    ;France       ;EMEA ;Da Cunha   ;Daniel    
10145;37;100;9;5192.9;08/25/2003;Shipped   ;3;8;2003;Motorcycles     ;118;S10_2016 ;Toys4GrownUps.com                 ;6265557265       ;78934 Hillside Dr.                        ;           ;Pasadena      ;CA           ;90003    ;USA          ;NA   ;Young      ;Julie     
10159;37;100;17;5016.8;10/10/2003;Shipped   ;4;10;2003;Motorcycles     ;118;S10_2016 ;Corporate Gift Ideas Co.          ;6505551386       ;7734 Strong St.                           ;           ;San Francisco ;CA           ;         ;USA          ;NA   ;Brown      ;Julie     
10168;27;100;4;3660.9;10/28/2003;Shipped   ;4;10;2003;Motorcycles     ;118;S10_2016 ;Technics Stores Inc.              ;6505556809       ;9408 Furth Circle                         ;           ;Burlingame    ;CA           ;94217    ;USA          ;NA   ;Hirano     ;Juri      
10180;42;100;12;4695.6;11/11/2003;Shipped   ;4;11;2003;Motorcycles     ;118;S10_2016 ;Daedalus Designs Imports          ;20.16.1555       ;184, chauss‚e de Tournai                  ;           ;Lille         ;             ;59000    ;France       ;EMEA ;Ranc‚      ;Martine   
10188;38;96.3;4;3660.9;11/18/2003;Shipped   ;4;11;2003;Motorcycles     ;118;S10_2016 ;Herkku Gifts                      ;+47 2267 3215    ;Drammen 121, PR 744 Sentrum               ;           ;Bergen        ;             ;N 5804   ;Norway       ;EMEA ;Oeztan     ;Veysel    
10201;24;100;5;3025.9;12/01/2003;Shipped   ;4;12;2003;Motorcycles     ;118;S10_2016 ;Mini Wheels Co.                   ;6505555787       ;5557 North Pendale Street                 ;           ;San Francisco ;CA           ;         ;USA          ;NA   ;Murphy     ;Julie     
10210;23;100;2;3009.1;01/12/2004;Shipped   ;1;1;2004;Motorcycles     ;118;S10_2016 ;Osaka Souveniers Co.              ;+81 06 6342 5555 ;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku  ;           ;Osaka         ;Osaka        ;530-0003 ;Japan        ;Japan;Kentary    ;Mory      
10223;47;100;4;5422.4;02/20/2004;Shipped   ;1;2;2004;Motorcycles     ;118;S10_2016 ;Australian Collectors, Co.        ;03 9520 4555     ;636 St Kilda Road                         ;Level 3    ;Melbourne     ;Victoria     ;3004     ;Australia    ;APAC ;Ferguson   ;Peter     
10236;22;100;1;2852.1;04/03/2004;Shipped   ;2;4;2004;Motorcycles     ;118;S10_2016 ;Motor Mint Distributors Inc.      ;2155559857       ;11328 Douglas Av.                         ;           ;Philadelphia  ;PA           ;71270    ;USA          ;NA   ;Hernandez  ;Rosa      
10251;44;100;5;5756.5;05/18/2004;Shipped   ;2;5;2004;Motorcycles     ;118;S10_2016 ;Tekni Collectables Inc.           ;2015559350       ;7476 Moss Rd.                             ;           ;Newark        ;NJ           ;94019    ;USA          ;NA   ;Brown      ;William   
10263;40;100;5;4472;06/28/2004;Shipped   ;2;6;2004;Motorcycles     ;118;S10_2016 ;Gift Depot Inc.                   ;2035552570       ;25593 South Bay Ln.                       ;           ;Bridgewater   ;CT           ;97562    ;USA          ;NA   ;King       ;Julie     
10275;22;100;4;2904.4;07/23/2004;Shipped   ;3;7;2004;Motorcycles     ;118;S10_2016 ;La Rochelle Gifts                 ;40.67.8555       ;67, rue des Cinquante Otages              ;           ;Nantes        ;             ;44000    ;France       ;EMEA ;Labrune    ;Janine    
10285;47;100;9;6484.6;08/27/2004;Shipped   ;3;8;2004;Motorcycles     ;118;S10_2016 ;Marta's Replicas Co.              ;6175558555       ;39323 Spinnaker Dr.                       ;           ;Cambridge     ;MA           ;51247    ;USA          ;NA   ;Hernandez  ;Marta     
10298;39;96.3;1;3757.3;09/27/2004;Shipped   ;3;9;2004;Motorcycles     ;118;S10_2016 ;Atelier graphique                 ;40.32.2555       ;54, rue Royale                            ;           ;Nantes        ;             ;44000    ;France       ;EMEA ;Schmitt    ;Carine    
10308;34;100;2;4044;10/15/2004;Shipped   ;4;10;2004;Motorcycles     ;118;S10_2016 ;Mini Classics                     ;9145554562       ;3758 North Pendale Street                 ;           ;White Plains  ;NY           ;24067    ;USA          ;NA   ;Frick      ;Steve     
10318;45;100;4;5566.5;11/02/2004;Shipped   ;4;11;2004;Motorcycles     ;118;S10_2016 ;Diecast Classics Inc.             ;2155551555       ;7586 Pompton St.                          ;           ;Allentown     ;PA           ;70267    ;USA          ;NA   ;Yu         ;Kyung     
10329;20;100;2;3176;11/15/2004;Shipped   ;4;11;2004;Motorcycles     ;118;S10_2016 ;Land of Toys Inc.                 ;2125557818       ;897 Long Airport Avenue                   ;           ;NYC           ;NY           ;10022    ;USA          ;NA   ;Yu         ;Kwai      
10339;40;68.9;4;2756.8;11/23/2004;Shipped   ;4;11;2004;Motorcycles     ;118;S10_2016 ;Tokyo Collectables, Ltd           ;+81 3 3584 0555  ;2-2-8 Roppongi                            ;           ;Minato-ku     ;Tokyo        ;106-0032 ;Japan        ;Japan;Shimamura  ;Akiko     
10361;26;51.1;8;1329.9;12/17/2004;Shipped   ;4;12;2004;Motorcycles     ;118;S10_2016 ;Souveniers And Things Co.         ;+61 2 9495 8555  ;Monitor Money Building, 815 Pacific Hwy   ;Level 6    ;Chatswood     ;NSW          ;2067     ;Australia    ;APAC ;Huxley     ;Adrian    
10374;39;100;5;5288;02/02/2005;Shipped   ;1;2;2005;Motorcycles     ;118;S10_2016 ;Australian Gift Network, Co       ;61-7-3844-6555   ;31 Duncan St. West End                    ;           ;South Brisbane;Queensland   ;4101     ;Australia    ;APAC ;Calaghan   ;Tony      
10388;50;44.5;5;2225.5;03/03/2005;Shipped   ;1;3;2005;Motorcycles     ;118;S10_2016 ;FunGiftIdeas.com                  ;5085552555       ;1785 First Street                         ;           ;New Bedford   ;MA           ;50553    ;USA          ;NA   ;Benitez    ;Violeta   
10402;45;100;1;5833.8;04/07/2005;Shipped   ;2;4;2005;Motorcycles     ;118;S10_2016 ;Auto Canal+ Petit                 ;(1) 47.55.6555   ;25, rue Lauriston                         ;           ;Paris         ;             ;75016    ;France       ;EMEA ;Perrier    ;Dominique 
10417;45;100;5;5887.4;05/13/2005;Disputed  ;2;5;2005;Motorcycles     ;118;S10_2016 ;Euro+ Shopping Channel            ;(91) 555 94 44   ;C/ Moralzarzal, 86                        ;           ;Madrid        ;             ;28034    ;Spain        ;EMEA ;Freyre     ;Diego     
10107;27;100;4;6065.6;02/24/2003;Shipped   ;1;2;2003;Motorcycles     ;193;S10_4698 ;Land of Toys Inc.                 ;2125557818       ;897 Long Airport Avenue                   ;           ;NYC           ;NY           ;10022    ;USA          ;NA   ;Yu         ;Kwai      
10120;46;100;2;9264.9;04/29/2003;Shipped   ;2;4;2003;Motorcycles     ;193;S10_4698 ;Australian Collectors, Co.        ;03 9520 4555     ;636 St Kilda Road                         ;Level 3    ;Melbourne     ;Victoria     ;3004     ;Australia    ;APAC ;Ferguson   ;Peter     
10134;31;100;4;7024;07/01/2003;Shipped   ;3;7;2003;Motorcycles     ;193;S10_4698 ;Lyon Souveniers                   ;+33 1 46 62 7555 ;27 rue du Colonel Pierre Avia             ;           ;Paris         ;             ;75508    ;France       ;EMEA ;Da Cunha   ;Daniel    
10145;33;100;8;5176.4;08/25/2003;Shipped   ;3;8;2003;Motorcycles     ;193;S10_4698 ;Toys4GrownUps.com                 ;6265557265       ;78934 Hillside Dr.                        ;           ;Pasadena      ;CA           ;90003    ;USA          ;NA   ;Young      ;Julie     
10159;22;100;16;4132.7;10/10/2003;Shipped   ;4;10;2003;Motorcycles     ;193;S10_4698 ;Corporate Gift Ideas Co.          ;6505551386       ;7734 Strong St.                           ;           ;San Francisco ;CA           ;         ;USA          ;NA   ;Brown      ;Julie     
10168;20;100;3;4183;10/28/2003;Shipped   ;4;10;2003;Motorcycles     ;193;S10_4698 ;Technics Stores Inc.              ;6505556809       ;9408 Furth Circle                         ;           ;Burlingame    ;CA           ;94217    ;USA          ;NA   ;Hirano     ;Juri      
10180;41;100;11;8892.9;11/11/2003;Shipped   ;4;11;2003;Motorcycles     ;193;S10_4698 ;Daedalus Designs Imports          ;20.16.1555       ;184, chauss‚e de Tournai                  ;           ;Lille         ;             ;59000    ;France       ;EMEA ;Ranc‚      ;Martine   
10188;45;100;3;8714.7;11/18/2003;Shipped   ;4;11;2003;Motorcycles     ;193;S10_4698 ;Herkku Gifts                      ;+47 2267 3215    ;Drammen 121, PR 744 Sentrum               ;           ;Bergen        ;             ;N 5804   ;Norway       ;EMEA ;Oeztan     ;Veysel    
10201;49;100;4;8065.9;12/01/2003;Shipped   ;4;12;2003;Motorcycles     ;193;S10_4698 ;Mini Wheels Co.                   ;6505555787       ;5557 North Pendale Street                 ;           ;San Francisco ;CA           ;         ;USA          ;NA   ;Murphy     ;Julie     
10210;34;100;1;6123.4;01/12/2004;Shipped   ;1;1;2004;Motorcycles     ;193;S10_4698 ;Osaka Souveniers Co.              ;+81 06 6342 5555 ;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku  ;           ;Osaka         ;Osaka        ;530-0003 ;Japan        ;Japan;Kentary    ;Mory      
10223;49;100;3;9774;02/20/2004;Shipped   ;1;2;2004;Motorcycles     ;193;S10_4698 ;Australian Collectors, Co.        ;03 9520 4555     ;636 St Kilda Road                         ;Level 3    ;Melbourne     ;Victoria     ;3004     ;Australia    ;APAC ;Ferguson   ;Peter     
10237;39;100;9;7023.9;04/05/2004;Shipped   ;2;4;2004;Motorcycles     ;193;S10_4698 ;Vitachrome Inc.                   ;2125551500       ;2678 Kingston Rd.                         ;Suite 101  ;NYC           ;NY           ;10022    ;USA          ;NA   ;Frick      ;Michael   
10251;43;100;4;7078.2;05/18/2004;Shipped   ;2;5;2004;Motorcycles     ;193;S10_4698 ;Tekni Collectables Inc.           ;2015559350       ;7476 Moss Rd.                             ;           ;Newark        ;NJ           ;94019    ;USA          ;NA   ;Brown      ;William   
10263;41;100;4;8336.9;06/28/2004;Shipped   ;2;6;2004;Motorcycles     ;193;S10_4698 ;Gift Depot Inc.                   ;2035552570       ;25593 South Bay Ln.                       ;           ;Bridgewater   ;CT           ;97562    ;USA          ;NA   ;King       ;Julie     
10275;36;100;3;6901.9;07/23/2004;Shipped   ;3;7;2004;Motorcycles     ;193;S10_4698 ;La Rochelle Gifts                 ;40.67.8555       ;67, rue des Cinquante Otages              ;           ;Nantes        ;             ;44000    ;France       ;EMEA ;Labrune    ;Janine    
10285;27;100;8;5438.1;08/27/2004;Shipped   ;3;8;2004;Motorcycles     ;193;S10_4698 ;Marta's Replicas Co.              ;6175558555       ;39323 Spinnaker Dr.                       ;           ;Cambridge     ;MA           ;51247    ;USA          ;NA   ;Hernandez  ;Marta     
10299;29;100;11;6683.3;09/30/2004;Shipped   ;3;9;2004;Motorcycles     ;193;S10_4698 ;Toys of Finland, Co.              ;90-224 8555      ;Keskuskatu 45                             ;           ;Helsinki      ;             ;21240    ;Finland      ;EMEA ;Karttunen  ;Matti     
10308;20;100;1;4570.4;10/15/2004;Shipped   ;4;10;2004;Motorcycles     ;193;S10_4698 ;Mini Classics                     ;9145554562       ;3758 North Pendale Street                 ;           ;White Plains  ;NY           ;24067    ;USA          ;NA   ;Frick      ;Steve     
10318;37;100;3;7667.1;11/02/2004;Shipped   ;4;11;2004;Motorcycles     ;193;S10_4698 ;Diecast Classics Inc.             ;2155551555       ;7586 Pompton St.                          ;           ;Allentown     ;PA           ;70267    ;USA          ;NA   ;Yu         ;Kyung     
